id,datetime,platform,orbit_state,relative_orbit,instrument_mode,polarizations
S1A_IW_GRDH_1SDV_20170829T002620_20170829T002645_018131_01E74D,2017-08-29T00:26:32.964507+00:00,SENTINEL-1A,ascending,34,IW,"['VV', 'VH']"
S1B_IW_GRDH_1SDV_20170830T122203_20170830T122232_007169_00CA2C,2017-08-30T12:22:18.335167+00:00,SENTINEL-1B,descending,143,IW,"['VV', 'VH']"
S1B_IW_GRDH_1SDV_20170830T122232_20170830T122257_007169_00CA2C,2017-08-30T12:22:45.346487+00:00,SENTINEL-1B,descending,143,IW,"['VV', 'VH']"
